Línea;Codigo;Descripción;Nivel
ALIMENTOS POLAR COLOMBIA;3006;PROMASA BLANCA *500GR;
ALIMENTOS POLAR COLOMBIA;3007;PAN HAR AREPAS CHOCLO*500GR;
ALIMENTOS POLAR COLOMBIA;3008;PAN HARINA MAIZ AMARILLO*500GR;
ALIMENTOS POLAR COLOMBIA;3014;PANCHO AVENA HOJUELA*600GR;
ALIMENTOS POLAR COLOMBIA;3015;FRESCAVENA QUAKER FRESA *180GR;
ALIMENTOS POLAR COLOMBIA;3016;FRESCAVENA QUAKER VAINILLA *180GR;
ALIMENTOS POLAR COLOMBIA;3018;QUAKER INST VAINILLA *180GR;
ALIMENTOS POLAR COLOMBIA;3020;OF DONKAN CARNE Y CEREALES*22KL DCTO 10%;
ALIMENTOS POLAR COLOMBIA;3023;QUAKER ARITOS CARAMELO *100GR;
ALIMENTOS POLAR COLOMBIA;3024;BABY QUAKER TRICEREAL*200GR;
ALIMENTOS POLAR COLOMBIA;3025;BABY QUAKER MANZANA*200GR;
ALIMENTOS POLAR COLOMBIA;3026;MEZCLA PANCAKE AUNT JEMIMA*300GR;
ALIMENTOS POLAR COLOMBIA;3027;QUAKER AVENA MOLIDA*200GR;
ALIMENTOS POLAR COLOMBIA;3031;DOGOURMET CARNE ADULTO* 1KL;
ALIMENTOS POLAR COLOMBIA;3032;DONKAN CARNE Y CEREA ADULTOS*500GR;
ALIMENTOS POLAR COLOMBIA;3033;DONKAN CARNE Y CEREALES*22KL;
ALIMENTOS POLAR COLOMBIA;3034;DOGOURMET CARNE ADULTO *25KL;
ALIMENTOS POLAR COLOMBIA;3035;DOGOURMET CACHORROS LECHE*1KL;
ALIMENTOS POLAR COLOMBIA;3036;DOGOURMET CACHORROS LECHE*25KL;
ALIMENTOS POLAR COLOMBIA;3038;DONKAN CACHORRO *500GR;
ALIMENTOS POLAR COLOMBIA;3039;DONKAN CACHORRO *22KL;
ALIMENTOS POLAR COLOMBIA;3040;OHMAIGAT SEDENTARIO *8KL;
ALIMENTOS POLAR COLOMBIA;3041;OHMAIGAT INQUIETOS *8KL;
ALIMENTOS POLAR COLOMBIA;3042;OHMAIGAT CASEROS *8KL;
ALIMENTOS POLAR COLOMBIA;3043;DONKAT GATICOS *500GR;
ALIMENTOS POLAR COLOMBIA;3044;DONKAT GATICOS *3KL;
ALIMENTOS POLAR COLOMBIA;3045;DONKAT ADULTO *500GR;1,1
ALIMENTOS POLAR COLOMBIA;3046;DONKAT ADULTO *7KL;
ALIMENTOS POLAR COLOMBIA;3047;DOGOURMET CARNE ADULTO*4KL;
ALIMENTOS POLAR COLOMBIA;3049;OHMAIGAT SEDENTARIOS *200GR;
ALIMENTOS POLAR COLOMBIA;3050;OHMAIGAT INQUIETOS *200GR;
ALIMENTOS POLAR COLOMBIA;3051;OHMAIGAT CASEROS *200GR;
ALIMENTOS POLAR COLOMBIA;3052;OHMAIGAT GATITOS JUGUETONE *200GR;
ALIMENTOS POLAR COLOMBIA;3053;DONKAN CARNE Y CEREAL ADULTO*1KL;
ALIMENTOS POLAR COLOMBIA;3054;DONKAN CACHORRO *1KL;
ALIMENTOS POLAR COLOMBIA;3056;PAN HAR MAIZ INTEGRAL BLANCA*500GR;
ALIMENTOS POLAR COLOMBIA;3057;PAN HAR MAIZ INTEGRAL BLANCA*1000GR;
ALIMENTOS POLAR COLOMBIA;3065;DONKAT GATICOS*7KG;
ALIMENTOS POLAR COLOMBIA;3068;OHMAIGAT GATTITOS JUGUETON*500GR;
ALIMENTOS POLAR COLOMBIA;3069;OHMAIGAT SEDENTARIOS*500GR;
ALIMENTOS POLAR COLOMBIA;3070;OHMAIGAT INQUIETOS*500GR;
ALIMENTOS POLAR COLOMBIA;3071;OHMAIGAT CASEROS*500GR;
ALIMENTOS POLAR COLOMBIA;3072;DONKAT GATICOS*1KL;
ALIMENTOS POLAR COLOMBIA;3073;DONKAT ADULTO*1KL;
ALIMENTOS POLAR COLOMBIA;3075;DOGOURMET CARNE ADULT*2KL;
ALIMENTOS POLAR COLOMBIA;3080;OHMAIGAT SEDENTARIOS *1.5KL;
ALIMENTOS POLAR COLOMBIA;3081;OHMAIGAT INQUIETOS *1.5KL;
ALIMENTOS POLAR COLOMBIA;3082;FRESCAVENA QUAKER FRESA*440GR DP;
ALIMENTOS POLAR COLOMBIA;3083;FRESCAVENA QUAKER VAINILL*440GR DP;
ALIMENTOS POLAR COLOMBIA;3084;PANCHO AVENA MOLIDA*600GR;
ALIMENTOS POLAR COLOMBIA;3085;OHMAIGAT GATITOS JUGUETONES*1.5KL;
ALIMENTOS POLAR COLOMBIA;3086;DONKAN CARNE Y CEREALES*12KL;
ALIMENTOS POLAR COLOMBIA;3091;DOGOURMET CARNE ADULT*8KL;
ALIMENTOS POLAR COLOMBIA;3092;DOGOURMET CACHORROS LECH*2 KL;
ALIMENTOS POLAR COLOMBIA;3093;OHMAIGAT CASEROS 1.5KL;
ALIMENTOS POLAR COLOMBIA AS;3101;PAN HARINA MAIZ BLANCA*1000GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3102;PAN HARINA MAIZ BLANCA*500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3103;PROMASA AMARILLA *1000GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3104;PROMASA AMARILLA *500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3105;PROMASA BLANCA *1000GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3106;PROMASA BLANCA *500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3107;PAN HAR AREPAS CHOCLO*500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3108;PAN HARINA MAIZ AMARILLO*500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3113;OHMAIGAT JUGUETONES*500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3114;PANCHO AVENA HOJUELA*600GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3115;FRESCAVENA QUAKER FRESA *180GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3116;FRESCAVENA QUAKER VAINILLA *180GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3118;QUAKER INST VAINILLA *180GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3120;OHMAIGAT SEDENTARIOS*500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3121;QUAKER AVENA HOJUELA *220GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3123;QUAKER ARITOS CARAMELO *100GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3124;BABY QUAKER TRICEREAL*200GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3125;BABY QUAKER MANZANA*200GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3126;MEZCLA PANCAKE AUNT JEMIMA*300GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3127;QUAKER AVENA MOLIDA*200GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3129;OHMAIGAT INQUIETOS*500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3130;OHMAIGAT CASEROS*500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3132;DONKAN CARNE Y CEREA ADULTOS*500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3133;DONKAN CARNE Y CEREALES*22KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3134;DOGOURMET CARNE ADULTO*25KG;1,1
ALIMENTOS POLAR COLOMBIA AS;3135;DOGOURMET CACHORROS LECHE*1KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3136;DOGOURMET CACHORROS LECHE 25KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3138;DONKAN CACHORRO *500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3139;DONKAN CACHORRO *22KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3140;OHMAIGAT SEDENTARIO *8KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3141;OHMAIGAT INQUIETOS *8KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3142;OHMAIGAT CASEROS *8KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3143;DONKAT GATICOS *500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3145;DONKAT ADULTO *500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3146;DONKAT ADULTO *7KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3149;OHMAIGAT SEDENTARIOS *200GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3150;OHMAIGAT INQUIETOS *200GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3151;OHMAIGAT CASEROS *200GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3152;OHMAIGAT GATITOS JUGUETONE *200GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3153;DONKAN CARNE Y CEREAL ADULTO*1KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3154;DONKAN CACHORRO *1KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3155;DONKAT ADULTO *1KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3156;PAN HAR MAIZ INTEGRAL BLANCA*500GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3157;PAN HAR MAIZ INTEGRAL BLANCA*1000GR;1,1
ALIMENTOS POLAR COLOMBIA AS;3158;OHMAIGAT JUGUETONES *8KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3159;DONKAT GATICOS*7KL;1,1
ALIMENTOS POLAR COLOMBIA AS;3201;QUAKER AVENA HOJUELA *350GR;1,1
DIRECTV COLOMBIA LTDA;3202;KIT PREPAGO 1DECO HD DIRECTV;3
DIRECTV;3203;REBATE RECARGAS MAYO 2022 CUR;
DIRECTV COLOMBIA LTDA;3207;REBATE RECARGAS ABRIL 2022 CUR;3
UNILEVER;3301;FRUCO S.TOMATE*150GR DOYACK;2
UNILEVER;3302;FRUCO MAYONESA*150G DOYPACK;2
UNILEVER;3305;FRUCO S.TOMATE SACHET*80GR*12UN;2
UNILEVER;3306;KNORR CALDO GALLINA DESMENUZADO POTE*40;2
UNILEVER;3307;MAIZENA FECULA DE MAIZ*90GR;2
UNILEVER;3308;MAIZENA COLADA MIX*28GR LOTERO*18UND;2
UNILEVER;3309;COCO JB BARRA*180GR;2
UNILEVER;3310;FAB DET LIQU DOYPACK*300ML;2
UNILEVER;3311;PURO JB BARR HORTEN Y FLOR*180GR;1,3
UNILEVER;3312;FAB JB BARRA MULTIUSOS LIMO*300GR;2
UNILEVER;3315;FAB POLVO FLORAL*100GR;1,3
UNILEVER;3316;FAB POLVO FLORAL*225GR;1,3
UNILEVER;3317;FAB POLVO FLORAL*450GR;1,3
UNILEVER;3318;FAB POLVO FLORAL*800GR;1,3
UNILEVER;3319;FAB POLVO FLORAL*2KL;1,3
UNILEVER;3321;PONDS CR CLARAN B3 P.SECA SACHET*8.5G*10UN;
UNILEVER;3322;SEDAL AC CERAMIDAS*18ML*20 SOBRES;
UNILEVER;3325;REXONA MEN V8 DESOD ROLLON*30ML*6UN;
UNILEVER;3326;REXONA DESOD MUJER CLINI CLASS*8.5GR*20 SOB;
UNILEVER;3327;DOVE SUPER AC60 *12ML*20 SOBR;
UNILEVER;3328;DOVE DESOD DERMO ACLAR*8.5GR*10UN;
UNILEVER;3329;REXONA CLINICAL CLEAN DESOD*8.5GR SACHET*20;
UNILEVER;3330;REXONA DESOD V8 SACHET*8.5GR*20UN;
UNILEVER;3331;PONDS CR C ORIGINAL*45GR;
UNILEVER;3332;PONDS CR BIOHIDRATANTE*50GR;
UNILEVER;3333;PONDS CR CLARANT B3 GRASA*50GR;
UNILEVER;3334;PONDS CR CLARANT B3 SECA*50GR;
UNILEVER;3335;PONDS CR PEPINO*50GR;
UNILEVER;3336;PONDS CR H *50GR;
UNILEVER;3337;PONDS CR REJUVENESS*50GR;
UNILEVER;3338;PONDS CR S HUMECTANTE NUTRIT*50GR;
UNILEVER;3341;PONDS CR REJUVENESS SACH*10UND*8.5GR;
UNILEVER;3342;PONDS CR S SACHET*8.5G*10UN;
UNILEVER;3344;FRUCO MAYONESA *380GR DOYPACK;
UNILEVER;3345;FRUCO S.ROSADA*180GR DOYPACK;
UNILEVER;3346;FRUCO S.ROSADA SACH*80GR*12UN;
UNILEVER;3347;VELROSITA JB*200GR*3UND;
UNILEVER;3348;VELROSITA JB BABY*200GR*3UN;
UNILEVER;3349;MAIZENA MEZCLA PANCAKES*300GR;
UNILEVER;3350;MAIZENA PANCAKES DISP*120GR*6UN;
UNILEVER;3351;3D POLVO MULTIUS*125GR;1,3
UNILEVER;3352;3D POLVO MULTIUS*250GR;1,3
UNILEVER;3353;3D POLVO MULTIUS*500GR;1,3
UNILEVER;3354;3D POLVO MULTIUS*1KL;1,3
UNILEVER;3355;3D POLVO MULTIUS*3KL;1,3
UNILEVER;3357;CRESO ULTRA*500ML;
UNILEVER;3359;FRUCO S.TOMATE*250GR;
UNILEVER;3362;FRUCO MOSTAZ DOYPACK*200GR;
UNILEVER;3363;FRUCO MOSTAZ SACHET*12UN*85GR;
UNILEVER;3364;MAIZENA COLADA AREQUIP*28G*18UN;
UNILEVER;3365;MAIZENA COLADA VAINIL*28G*18UN;
UNILEVER;3366;MAIZENA COLADA FRESA*28G*18UN;
UNILEVER;3367;DOVE JB ORIGINAL*90GR;
UNILEVER;3372;SEDAL SH CERAMIDAS*190ML;
UNILEVER;3374;SEDAL SH KERATINA ANTIOX*190ML;
UNILEVER;3375;DOVE BABY JB HUMECTAC ENRIQUE*75GR;
UNILEVER;3376;2SEDAL CR RIZOS DEFIN*300ML;
UNILEVER;3377;DOVE SH OLEO NUTRICION*200ML;
UNILEVER;3378;DOVE SH CONTROL CAIDA*200ML;
UNILEVER;3379;AROMATEL FLORA BOTELL*1.8 LT;
UNILEVER;3380;BARRIGON JB BARR*200GR BARRA;
UNILEVER;3381;BARRIGON JB BARR*400GR*2UN AZUL;
UNILEVER;3383;REXONA MEN DESOD TUBO*35GR CLINIC CLEAN;
UNILEVER;3384;REXONA DESOD WOMEN TUBO*35GR CLIN CLAS;
UNILEVER;3385;REXONA DESOD ROLL BAMBOO*30ML*6;
UNILEVER;3387;DOVE DESOD WOM ROLLON ORIG*30ML*6UN;
UNILEVER;3388;FRUCO PASTA TOMATE*200GR DOYPACK;
UNILEVER;3389;FRUCO S.TOMATE*400GR DOYPACK;
UNILEVER;3390;FAB LOZAMAX LIQ LIMON*300ML;
UNILEVER;3391;PURO JB BARR HORTENS Y FLOR BL*400GR;
UNILEVER;3393;SEDAL CP KERAT ANTIOX*18ML;
UNILEVER;3394;DOVE DESOD MEN ROLLON CUIDAD TOTAL*30ML*6UN;
UNILEVER;3395;FAB JB BARRA MULTIUSO FLOR*300GR;
UNILEVER;3396;VEL ROSITA DET LIQ DOYPACK*300ML;2
UNILEVER;3397;FAB JB BARRA MULTIUSOS LIMON*200GR;
UNILEVER;3398;FAB POLVO FLOR*4KG;1,3
UNILEVER;3399;LAVOMATIC POLVO FLORAL*2KL;1,3
MONDELEZ;3402;BUBBALOO FRUTA*70UN;
MONDELEZ;3403;BUBBALOO CEREZA*70UN;
MONDELEZ;3404;BUBBALOO FRESA*70UN;
MONDELEZ;3406;BUBBALOO RETO*70UN;
MONDELEZ;3408;BUBBALOO SPARKIES*20 DISP*20;
MONDELEZ;3409;BUBBALOO SPARKIES*5*70UN;
MONDELEZ;3410;BUBBALOO MORA ANDIN*70UN;
MONDELEZ;3411;CHICLETS MENTA*12 DISP*20UN P.E;
MONDELEZ;3413;CHICLETS MENTA*2PAS DISP*100;
MONDELEZ;3414;CHICLETS STDO*2PAS DISP*100;
MONDELEZ;3415;CLUB SOCIAL INTEGRAL LINAZA*9UND;
MONDELEZ;3416;CLUB SOCIAL INTEGRAL TRADICIONAL*9UND;
MONDELEZ;3418;CLUB SOCIAL ORIGIN*9UND;
MONDELEZ;3419;CLUB SOCIAL INTEGRAL MULTICER*9UND;
MONDELEZ;3420;CLUB SOCIAL MANTEQU*9UND;
MONDELEZ;3421;HALLS MORA AZUL*100UN;
MONDELEZ;3423;HALLS YERBABUENA*100UN;
MONDELEZ;3424;HALLS CHERRY LYPTUS*100UN;
MONDELEZ;3425;HALLS MENTHOLYPTUS*100UN;
MONDELEZ;3426;HALLS EXTRA STRONG*100UND;
MONDELEZ;3427;HALLS CHERRY LYTUS*9 DISP*12UN;
MONDELEZ;3428;HALLS MENTHOL LYPTUS*9 DISP*12;
MONDELEZ;3429;HALLS EXTRA STRONG*9 DISPL*12UN;
MONDELEZ;3430;HALLS MORA AZUL*9 DISP*12UN;
MONDELEZ;3431;OREO ROLLO ORIGINAL*108GR;
MONDELEZ;3432;HALLS FRUIT MIX*9 DISP*12UN;
MONDELEZ;3433;HALLS YERBABUENA*9 DISP*12UN;
MONDELEZ;3434;OREO ORIGINAL*12UN;
MONDELEZ;3435;OREO COOKIES&CREAM*12UN;
MONDELEZ;3436;OREO ORIGINAL*6PAQ;
MONDELEZ;3437;OREO CHOCOLATE PAQ*12UN;
MONDELEZ;3438;OREO SLUG TACO ORIGINAL*126GR;
MONDELEZ;3439;RITZ QUESO PAQ*6UND;
MONDELEZ;3440;RITZ PLAIN PAQ*6UND;
MONDELEZ;3441;RITZ TACO;
MONDELEZ;3442;TRIDENT FRESH HERBAL DISP*60UN;
MONDELEZ;3444;TRIDENT SANDIA DISP*60UN;
MONDELEZ;3445;TRIDENT MENTA DISP*60;
MONDELEZ;3446;TRIDENT MORA DISP*60UND;
MONDELEZ;3449;TRIDENT FRESH HERBAL*3PAS DISP*24UN;
MONDELEZ;3450;TRIDENT SANDIA*3PAS DISP*24UN;
MONDELEZ;3451;TRIDENT MORAZUL SILV*3PIEZ DISP*24UN;
MONDELEZ;3452;TRIDENT MENTA*3PAS DISP*24UN;
MONDELEZ;3454;TRIDENT YERBABUENA*5PAS DISPL*18;
MONDELEZ;3455;TRIDENT MENTA SUAV*5PIEZ DISPL*18;
MONDELEZ;3456;TRIDENT SANDIA*5PAS DISP*18UN;
MONDELEZ;3457;TRIDENT MORA*5PAS DISP*18UN;
MONDELEZ;3458;TRIDENT FRESH HERBAL*5P DISP*18UN;
MONDELEZ;3459;TRIDENT TOTAL MENTA SIN AZUCAR*12P DISP*12UN;
MONDELEZ;3461;TRIDENT TOTAL YERBABUENA SIN AZUCAR*12P DISP*12;
MONDELEZ;3463;TRIDENT TOTAL 6S MENTA SIN AZUCAR*6P DISP*16;
MONDELEZ;3464;TRIDENT TOTAL YERBABUENA SIN AZUCAR*6P DISP*16;
MONDELEZ;3465;OREO MINI 40GR * 6 UND;
MONDELEZ;3466;TRIDENT STDO *60UN;
MONDELEZ;3467;TRIDENT 3PAS STDO*24;
MONDELEZ;3468;HALLS STDO DISPL*12;
MONDELEZ;3469;TRIDENT 5P STDO*18UN;
MONDELEZ;3470;HALLS PEPA BOLS*100UN STDA;
MONDELEZ;3484;HALLS LIMON Y MIEL*9 DISP*12UN;
MONDELEZ;3485;CLUB SOCIAL ARROZ SILVESTRE*9UND;
MONDELEZ;3490;OF HALLS PEPA BOLS*100UN STDA DCTO 8%;
MONDELEZ;3491;OF HALLS EXTRA STRONG*100UND DCTO 8%;
MONDELEZ;3492;TRIDENT FRESA*18PAS DISP*12UN;
MONDELEZ;3493;TRIDENT FRESHMINT*18PAS DISP*12UN;
MONDELEZ;3494;TRIDENT COOL BUBBLE*18PAS DISP*12UN;
MONDELEZ;3495;TRIDENT MENTA*18PAS DISP*12UN;
MONDELEZ;3496;MINI CHIPS AHOY*50GR;
MONDELEZ;3497;CHIPS AHOY*45GR *6 PAQ;
MONDELEZ;3498;TANG NARANJA 2LT *12;
MONDELEZ;3499;OREO PASTEL 36GR *12UN;
NACIONAL DE PILAS;3501;PILA 2AA TIRA*10PAR GTS 1PAR 2AA;
NACIONAL DE PILAS;3502;PILA 3AAA*TIRA*10PAR GTS 1PAR 3AAA;
NACIONAL DE PILAS;3503;PACK 1TIR AA*10PA+1TIR AAA*10PA GTS 1PAR ALKA 2AA;
NACIONAL DE PILAS;3504;PROM 2TIRAS AA GTS 1PAR ALKALINA 2AA;
NACIONAL DE PILAS;3505;PILA ALKALINA AA BP2 PAG5 LLV6PAR;
NACIONAL DE PILAS;3506;PILA ALKALINA AAA BP2 PAG5 LLV6PAR;
NACIONAL DE PILAS;3507;OBSEQUIO GANCHERA;
NACIONAL DE PILAS;3509;BOMBILLO LIGHTLED LUZ BLANCA 7W*4 UN  GTS 1PAR DOBLEAA;
NACIONAL DE PILAS;3510;BOMBILLO LIGHTLED LUZ BLANCA 9W*4 UN GTS 1PAR TRIPLEAAA;
ALIMENTOS POLAR COLOMBIA SAS;3603;ADVIL MAX *20CAPSULAS LIQU;
ALIMENTOS POLAR COLOMBIA SAS;3604;ADVIL GRIPA MULTI*20CAPS;
ALIMENTOS POLAR COLOMBIA SAS;3605;ADVIL ULTRA *20CAPS;
EDGEWELL PERSONAL CARE COLOMBIA S.A.S;3701;SCHICK QUATTRO*4H PN*10UND GTS 2QUATTRO WOM*4H;
EDGEWELL PERSONAL CARE COLOMBIA S.A.S;3702;SCHICK XTREME PS*3H 12UDS+ 2 XTREME ULTIMATE*3H;
EDGEWELL PERSONAL CARE COLOMBIA S.A.S;3703;SCHICK XTREM3 HAWAIAN PD*3 HOJAS PG12 LLV13;
EDGEWELL PERSONAL CARE COLOMBIA S.A.S;3704;SCHICK ULTRABARBA*2 HOJAS *24 UDS;
EDGEWELL PERSONAL CARE COLOMBIA S.A.S;3705;SCHICK ULTRABARBA*2 HOJAS *12 UDS;
EDGEWELL PERSONAL CARE COLOMBIA S.A.S;3706;SCHICK XTREME3 SENSIBLE*3H 12UDS PG12 LLV13;
EDGEWELL PERSONAL CARE COLOMBIA S.A.S;3707;SCHICK QUATTRO TITANIUM PN*4H PG10 LLV11;
EDGEWELL PERSONAL CARE COLOMBIA S.A.S;3708;SCHICK XTREME3 SENSIBLE*3H 12UDS GTS 1QUATTRO PN;
EDGEWELL PERSONAL CARE COLOMBIA S.A.S;3709;SCHICK XTREME3 SENSIBLE*3H PG11 LLV12UND;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3801;6 PEGANTE BARRA OE-210 *10GR;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3802;ARCHI OE-446 CHEQUE 13 BOLSILLOS TRASLUCIDO;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3803;SACAGANCHOS OE-302;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3804;EXHIBIDOR OFFI-ESCO MESA;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3805;2 BISTURI OE-112 GRANDE;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3806;3 BISTURI OE-110 PEQUEÑO;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3807;BOLIG OE-047 NEGRO SG 1.0 DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3808;BOLIG AZUL OE-052F SG DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3810;BOLIG ROJO OE-052F SG DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3811;BOLIG NEGRO OE-071F SG DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3813;BOLIG SURT OE-076F-10 SG ESTUC*10;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3814;BOLIG GEL ESC. OE-164 DISP*10 SURT;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3815;BORRADOR OE-120 GRANDE COLORES DISPLAY*20;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3816;BORRADOR OE-124 GRANDE UNICOLOR DISPLAY*20;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3817;CARPETA OE-808 LEGAJADOR CARTA C/GANCHO SURT;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3818;CARPETA OE-809 LEGAJADOR OFICIO C/GANCHO SURT;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3819;CARPETA OE-812 FUELLE OFICIO;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3820;COLORES OE-140 TRIANGULARES*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3821;COLORES OE-141 TRIANGULARES*18;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3822;COLORES OE-144 TRIANGULARES*12 JUMBO;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3823;COLORES OE-146 TRIANGULARES*24;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3824;PERFORADORA 2H OE-342 PEQUEÑA TRASL;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3825;CORRECTOR OE-254 DOBLE SERV*12ML DISPL*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3826;COSEDORA OE-305 MINITRASLUCIDA;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3827;COSEDORA OE-308 PEQUEÑA PLASTICA;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3828;COSEDORA OE-309 GRANDE PLASTICA;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3829;LAPIZ BICOLOR OE-148 NEGRO-ROJO DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3830;LAPIZ OE-150 NEGRO DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3831;LAPIZ OE-150P NEGRO PASTEL DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3832;MARCADOR MULTI OE-525-24 ESTUC*24 SURT;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3833;MARCADOR MULTI OE-525 ESTUC*12 SURT;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3834;MARCAD NEGRO BORR OE-510DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3835;MARCAD SURT BORR OE-510 DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3836;MARCAD NEGRO PERM OE-520 DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3837;MARCAD SURT PERM OE-520 DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3838;MARCAD NEG P/F PERM OE-526 DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3839;MARCAD SURT P/F PERM OE-526 DISP*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3840;MICROCUATRO OE-070 SURT ESTUC*10;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3841;PLUMON OE-096 P/PINC FIN ESTUCH*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3842;PLUMON OE-080 LAVABLE ESTUCH*12;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3843;PLUMON OE-081 LAVABLE ESTUCH*18;
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;3844;PLUMON OE-090 P/PINCEL ESTUCH*12;
